country,country_code,year,gdp_growth,inflation,unemployment,current_account,government_debt,missing_indicator_count
Brazil,BRA,2005,3.202132062,NULL,NULL,1.309884685,NULL,3
Brazil,BRA,2006,3.961988709,6.869537209,10.551,0.972710374,NULL,1
Brazil,BRA,2007,6.069870607,4.183568129,9.692,-0.197096995,NULL,1
Brazil,BRA,2008,5.094195448,3.641272991,9.28,-2.099337466,NULL,1
Brazil,BRA,2009,-0.125812003,5.678593903,8.268,-1.759358026,NULL,1
Brazil,BRA,2010,7.528225818,4.888034799,9.419,-3.925945399,66.969,0
Brazil,BRA,2011,3.974423079,5.038726901,8.42,-3.194617852,64.599,0
Brazil,BRA,2012,1.921175985,6.636449622,7.578,-3.759415368,63.025,0
Brazil,BRA,2013,3.00482267,5.40349914,7.251,-3.574221047,61.42,0
Brazil,BRA,2014,0.50395574,6.204310666,7.071,-4.498830309,64.702,0
Brazil,BRA,2015,-3.545763393,6.329040155,6.755,-3.518392073,62.433,0
Brazil,BRA,2016,-3.275916906,9.029901024,8.538,-1.700113602,60.634,0
Brazil,BRA,2017,1.322869054,8.739143523,11.58,-1.224299429,61.614,0
Brazil,BRA,2018,1.783666761,3.44637335,12.792,-2.807520364,59.595,0
Brazil,BRA,2019,1.220777823,3.664850284,12.329,-3.414291115,61.617,0
Brazil,BRA,2020,-3.276758796,3.732976212,11.936,-1.641035351,71.73,0
Brazil,BRA,2021,4.76260438,3.211768038,13.697,-2.35822088,77.422,0
Brazil,BRA,2022,3.016694354,8.301659756,13.158,-2.149677106,82.745,0
Brazil,BRA,2023,3.241655328,9.28010609,9.231,-1.235581827,84.777,0
India,IND,2005,7.923430621,NULL,NULL,-1.253504002,NULL,3
India,IND,2006,8.060732572,4.24634362,7.551,-0.988988303,NULL,1
India,IND,2007,7.660815067,5.796523376,7.553,-0.663717649,NULL,1
India,IND,2008,3.086698059,6.372881356,7.562,-2.583377493,NULL,1
India,IND,2009,7.861888833,8.349267049,7.629,-1.951462091,NULL,1
India,IND,2010,8.497584702,10.88235294,7.636,-3.253483689,82.378,0
India,IND,2011,5.241316199,11.98938992,7.631,-3.429284686,77.893,0
India,IND,2012,5.456387552,8.911793365,7.609,-5.004889718,75.414,0
India,IND,2013,6.386106401,9.478996914,7.645,-2.645667117,74.341,0
India,IND,2014,7.410227605,10.01787847,7.678,-1.339508965,72.735,0
India,IND,2015,7.996253786,6.665656719,7.656,-1.067549072,67.675,0
India,IND,2016,8.256305502,4.906973441,7.629,-0.527880606,68.699,0
India,IND,2017,6.795383419,4.948216341,7.611,-1.439488203,68.146,0
India,IND,2018,6.453851345,3.328173375,7.626,-2.426975458,68.018,0
India,IND,2019,3.871436941,3.938826467,7.652,-1.049612039,67.642,0
India,IND,2020,-5.777724707,3.729505735,6.51,1.22362111,69.755,0
India,IND,2021,9.689592492,6.623436776,7.859,-1.055241668,69.815,0
India,IND,2022,7.609364978,5.131407472,6.38,-2.362474815,70.776,0
India,IND,2023,9.19075493,6.699034141,4.822,-0.878262847,71.683,0
Kenya,KEN,2005,5.90666608,NULL,NULL,-1.346558497,NULL,3
Kenya,KEN,2006,6.4724943,10.31277836,2.739,-1.976469905,NULL,1
Kenya,KEN,2007,6.85072977,14.45373421,2.673,-3.229369603,NULL,1
Kenya,KEN,2008,0.232282745,9.75888023,2.642,-5.523296303,NULL,1
Kenya,KEN,2009,3.306939816,26.23981664,2.751,-3.987288881,NULL,1
Kenya,KEN,2010,8.058473603,9.234125924,2.816,-5.216693897,37.412,0
Kenya,KEN,2011,5.12110612,3.961388891,2.793,-8.148809352,37.066,0
Kenya,KEN,2012,4.568679614,14.0224913,2.699,-7.475871662,34.195,0
Kenya,KEN,2013,3.797848393,9.377770035,2.678,-7.851522286,34.254,0
Kenya,KEN,2014,5.020111002,5.71749357,2.762,-9.340048506,35.961,0
Kenya,KEN,2015,4.967721128,6.878154993,2.767,-6.304596563,36.695,0
Kenya,KEN,2016,4.213517068,6.582154293,2.762,-5.397008638,35.687,0
Kenya,KEN,2017,3.837958174,6.297249538,2.757,-6.996833221,37.616,0
Kenya,KEN,2018,5.647946407,8.005649677,3.542,-5.411066791,39.756,0
Kenya,KEN,2019,5.114158858,4.689806468,4.284,-5.238529359,41.281,0
Kenya,KEN,2020,-0.272766327,5.239637958,5.014,-3.269110071,45.832,0
Kenya,KEN,2021,7.590489473,5.405162079,5.613,-4.599008115,50.399,0
Kenya,KEN,2022,4.859981043,6.107936037,5.693,-4.199952583,53.866,0
Kenya,KEN,2023,5.719992412,7.659862683,5.565,-2.545525343,56.449,0
Nigeria,NGA,2005,6.438516525,NULL,NULL,20.79404484,NULL,3
Nigeria,NGA,2006,6.059428032,17.86349337,3.727,15.31424259,NULL,1
Nigeria,NGA,2007,6.591130361,8.22522152,3.749,9.936092804,NULL,1
Nigeria,NGA,2008,6.764472778,5.388007969,3.794,8.585344933,NULL,1
Nigeria,NGA,2009,8.036925101,11.58107517,3.792,4.70138235,NULL,1
Nigeria,NGA,2010,8.005655916,12.53782773,3.763,3.572648291,13.45,0
Nigeria,NGA,2011,5.307924203,13.74005214,3.744,2.574001234,6.678,0
Nigeria,NGA,2012,4.230061175,10.82613719,3.77,3.744689645,5.764,0
Nigeria,NGA,2013,6.671335393,12.2242413,3.761,3.662440304,5.167,0
Nigeria,NGA,2014,6.309718655,8.495518383,3.711,0.157882534,6.119,0
Nigeria,NGA,2015,2.652693295,8.04741088,3.9,-3.131401012,6.67,0
Nigeria,NGA,2016,-1.616868949,9.00943498,4.134,1.254720982,12.378,0
Nigeria,NGA,2017,0.805886619,15.69681264,4.499,3.609825501,12.482,0
Nigeria,NGA,2018,1.922757342,16.50226621,4.83,1.726933037,12.988,0
Nigeria,NGA,2019,2.208429277,12.09510652,5.069,-2.048011007,15.765,0
Nigeria,NGA,2020,-6.368898405,11.39642234,5.206,-2.670611357,14.93,0
Nigeria,NGA,2021,1.109252539,13.24602343,5.714,-0.534215771,17.376,0
Nigeria,NGA,2022,4.318829495,16.95284572,5.404,0.157446239,18.005,0
Nigeria,NGA,2023,3.326845564,18.84718778,3.827,1.317887459,20.377,0
South Africa,ZAF,2005,5.277051973,NULL,NULL,-2.774775899,NULL,3
South Africa,ZAF,2006,5.603806459,2.062853082,22.472,-4.000124276,NULL,1
South Africa,ZAF,2007,5.360474054,3.243907654,22.304,-4.861891607,NULL,1
South Africa,ZAF,2008,3.191043886,6.177812148,22.26,-5.186181085,NULL,1
South Africa,ZAF,2009,-1.538089135,9.90998456,22.407,-2.384581874,NULL,1
South Africa,ZAF,2010,3.039732881,7.238095238,23.523,-1.299018056,29.637,0
South Africa,ZAF,2011,3.168556279,4.06749556,24.683,-2.019676285,28.03,0
South Africa,ZAF,2012,2.396232385,5.000853388,24.639,-4.683736434,24.326,0
South Africa,ZAF,2013,2.485468008,5.737971391,24.727,-5.338372748,24.045,0
South Africa,ZAF,2014,1.413826452,5.780169101,24.561,-4.812432595,26.995,0
South Africa,ZAF,2015,1.321862237,6.132829531,24.89,-4.310286886,31.185,0
South Africa,ZAF,2016,0.664552308,4.518690949,25.149,-2.633614517,34.742,0
South Africa,ZAF,2017,1.157946952,6.602908424,26.536,-2.374367532,37.408,0
South Africa,ZAF,2018,1.556783847,5.186186555,27.035,-3.000519394,40.356,0
