Country Name,Country Code,Indicator Name,Indicator Code,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Brazil,BRA,Current account balance (% of GDP),BN.CAB.XOKA.GD.ZS,1.309884685,0.972710374,-0.197096995,-2.099337466,-1.759358026,-3.925945399,-3.194617852,-3.759415368,-3.574221047,-4.498830309,-3.518392073,-1.700113602,-1.224299429,-2.807520364,-3.414291115,-1.641035351,-2.35822088,-2.149677106,-1.235581827,-3.027159615
India,IND,Current account balance (% of GDP),BN.CAB.XOKA.GD.ZS,-1.253504002,-0.988988303,-0.663717649,-2.583377493,-1.951462091,-3.253483689,-3.429284686,-5.004889718,-2.645667117,-1.339508965,-1.067549072,-0.527880606,-1.439488203,-2.426975458,-1.049612039,1.22362111,-1.055241668,-2.362474815,-0.878262847,-0.81883137
Kenya,KEN,Current account balance (% of GDP),BN.CAB.XOKA.GD.ZS,-1.346558497,-1.976469905,-3.229369603,-5.523296303,-3.987288881,-5.216693897,-8.148809352,-7.475871662,-7.851522286,-9.340048506,-6.304596563,-5.397008638,-6.996833221,-5.411066791,-5.238529359,-3.269110071,-4.599008115,-4.199952583,-2.545525343,-1.287864672
Nigeria,NGA,Current account balance (% of GDP),BN.CAB.XOKA.GD.ZS,20.79404484,15.31424259,9.936092804,8.585344933,4.70138235,3.572648291,2.574001234,3.744689645,3.662440304,0.157882534,-3.131401012,1.254720982,3.609825501,1.726933037,-2.048011007,-2.670611357,-0.534215771,0.157446239,1.317887459,6.824364151
South Africa,ZAF,Current account balance (% of GDP),BN.CAB.XOKA.GD.ZS,-2.774775899,-4.000124276,-4.861891607,-5.186181085,-2.384581874,-1.299018056,-2.019676285,-4.683736434,-5.338372748,-4.812432595,-4.310286886,-2.633614517,-2.374367532,-3.000519394,-2.619990675,2.003522752,3.772413693,-0.296182598,-1.103563122,-0.642799797
